     File Name	      sp_left        sp_right		Avg Speed		AvgAngSpd
08_06_2017_419		   160.00		   160.00		   100.61		     0.07
08_06_2017_420		   160.00		   160.00		    80.95		     0.05
08_06_2017_421		   160.00		   160.00		    93.73		     0.02
08_06_2017_422		   160.00		   160.00		    92.23		     0.04
08_06_2017_423		  9999.00		  9999.00		     5.37		     0.12
08_06_2017_424		   199.00		   229.00		    39.09		    -0.30
08_06_2017_425		   199.00		   229.00		   244.37		    -0.53
08_06_2017_426		   199.00		   229.00		   290.35		     0.16
08_06_2017_427		   199.00		   229.00		   294.44		     0.19
08_06_2017_428		  9999.00		  9999.00		   334.24		     0.93
08_06_2017_429		  9999.00		  9999.00		   128.05		     0.00
08_06_2017_430		   255.00		   255.00		   386.93		     0.13
08_06_2017_431		   255.00		   255.00		   367.99		     0.11
08_06_2017_432		   255.00		   255.00		   415.57		     0.15
08_06_2017_433		   223.00		   197.00		   321.43		    -0.00
08_06_2017_434		   223.00		   197.00		   309.85		    -0.00
08_06_2017_435		   223.00		   197.00		   337.79		    -0.00
08_06_2017_436		   161.00		   220.00		   223.52		    -0.88
08_06_2017_437		   161.00		   220.00		   237.20		     0.73
08_06_2017_438		   161.00		   220.00		   184.36		    -0.75
08_06_2017_439		   221.00		   173.00		   195.47		    -0.27
08_06_2017_440		   221.00		   173.00		   248.50		    -0.92
08_06_2017_441		   221.00		   173.00		   285.57		    -0.17
08_06_2017_442		   207.00		   206.00		   349.77		     0.10
08_06_2017_443		   207.00		   206.00		   347.48		     0.10
08_06_2017_444		   207.00		   206.00		   344.52		     0.13
08_06_2017_445		   255.00		   255.00		   291.37		     0.09
08_06_2017_446		   255.00		   255.00		   386.82		     0.10
08_06_2017_447		   160.00		   160.00		    84.16		     0.02
08_06_2017_448		   160.00		   160.00		    88.28		     0.02
08_06_2017_449		   160.00		   160.00		   103.14		     0.02
08_06_2017_450		   160.00		   160.00		    85.58		    -0.45
08_06_2017_451		   190.00		   238.00		   281.59		     0.28
08_06_2017_452		   190.00		   238.00		   366.24		     0.35
08_06_2017_453		   190.00		   238.00		   377.12		     0.36
08_06_2017_454		   255.00		   253.00		   346.29		     0.13
08_06_2017_455		   255.00		   253.00		   256.40		     0.03
08_06_2017_456		   255.00		   253.00		   234.35		     0.03
08_06_2017_457		   255.00		   253.00		   330.93		     0.12
08_06_2017_458		   224.00		   191.00		   278.93		    -0.02
08_06_2017_459		   224.00		   191.00		   282.73		    -0.01
08_06_2017_460		   224.00		   191.00		   255.10		    -0.04
08_06_2017_461		   165.00		   213.00		   224.22		     0.46
08_06_2017_462		   165.00		   213.00		   219.46		     0.42
08_06_2017_463		   165.00		   213.00		   227.24		     0.43
08_06_2017_464		   221.00		   172.00		   274.97		    -0.16
08_06_2017_465		   221.00		   172.00		   288.94		    -0.20
08_06_2017_466		   221.00		   172.00		   256.59		    -0.18
08_06_2017_467		   203.00		   204.00		   279.15		     0.07
08_06_2017_468		   203.00		   204.00		   306.15		     0.08
08_06_2017_469		   203.00		   204.00		   315.11		     0.07
08_06_2017_470		   160.00		   246.00		   143.74		    -0.24
08_06_2017_471		   160.00		   246.00		   187.60		     0.75
08_06_2017_472		   160.00		   246.00		     4.18		    -0.02
08_06_2017_473		   160.00		   246.00		   171.85		     0.74
08_06_2017_474		   255.00		   160.00		   206.41		    -0.74
08_06_2017_475		   255.00		   160.00		   207.10		    -0.75
08_06_2017_476		   255.00		   160.00		   192.90		    -0.73
08_06_2017_477		   160.00		   246.00		   113.14		     0.48
08_06_2017_478		   160.00		   246.00		   147.97		     0.57
08_06_2017_479		   160.00		   246.00		   204.65		     0.80
08_06_2017_480		   160.00		   246.00		   145.58		     0.58
08_06_2017_481		   246.00		   160.00		   162.82		    -0.53
08_06_2017_482		   246.00		   160.00		   198.30		    -0.59
08_06_2017_483		   246.00		   160.00		   192.33		    -0.58
